Store Name,amenity,leisure,shop,count
FAREWAY STORES #983 / GRIMES,cafe,None,None,2
FAREWAY STORES #983 / GRIMES,None,None,supermarket,4
FAREWAY STORES #983 / GRIMES,restaurant,None,None,6
FAREWAY STORES #983 / GRIMES,restaurant,None,vacant,1
"FAREWAY STORES, INC. #225 / DES MOINES",None,None,supermarket,2
"FAREWAY STORES, INC. #225 / DES MOINES",bar,None,None,1
"FAREWAY STORES, INC. #225 / DES MOINES",cafe,None,None,1
"FAREWAY STORES, INC. #225 / DES MOINES",pub,None,None,4
"FAREWAY STORES, INC. #225 / DES MOINES",restaurant,None,None,10
"FAREWAY STORES, INC. #236 / BONDURANT",cafe,None,None,1
"FAREWAY STORES, INC. #236 / BONDURANT",pub,None,None,1
FAST MART,pub,None,None,1
FAST MART,restaurant,None,None,19
FAST MART,cafe,None,None,3
FAST MART,bar,None,None,12
FAST MART,None,stadium,None,1
FAST MART,None,None,supermarket,4
FAST MART / UNIVERSITY AVE,None,None,supermarket,2
FAST MART / UNIVERSITY AVE,None,stadium,None,2
FAST MART / UNIVERSITY AVE,bar,None,None,1
FAST MART / UNIVERSITY AVE,cafe,None,None,4
FAST MART / UNIVERSITY AVE,restaurant,None,None,6
"FAST MART 2, LLC",restaurant,None,None,4
"FAST MART 2, LLC",pub,None,None,1
"FAST MART 2, LLC",None,None,supermarket,1
"FAST MART 2, LLC",cafe,None,None,2
FAST TRIP / DES MOINES,None,None,supermarket,1
FAST TRIP / DES MOINES,None,stadium,None,1
FAST TRIP / DES MOINES,bar,None,None,22
FAST TRIP / DES MOINES,cafe,None,None,4
FAST TRIP / DES MOINES,pub,None,None,9
FAST TRIP / DES MOINES,restaurant,None,None,26
FASTMART,restaurant,None,None,6
FASTMART,cafe,None,None,4
FASTMART,bar,None,None,1
FASTMART,None,stadium,None,2
FASTMART,None,None,supermarket,2
FIRST STOP BEVERAGE SHOP,None,None,supermarket,1
FIRST STOP BEVERAGE SHOP,None,stadium,None,1
FIRST STOP BEVERAGE SHOP,bar,None,None,2
FIRST STOP BEVERAGE SHOP,restaurant,None,None,3
FLASHMART #101 / WDM,None,stadium,None,1
FLASHMART #101 / WDM,cafe,None,None,1
FOREST MARKET CONVENIENCE,restaurant,None,None,6
FOREST MARKET CONVENIENCE,cafe,None,None,3
FOREST MARKET CONVENIENCE,None,stadium,None,2
FOREST MARKET CONVENIENCE,None,None,supermarket,2
FOREST MARKET CONVENIENCE,bar,None,None,1
FOUNDRY DISTILLING COMPANY,restaurant,None,None,15
FOUNDRY DISTILLING COMPANY,None,None,supermarket,1
FOUNDRY DISTILLING COMPANY,bar,None,None,5
FOUNDRY DISTILLING COMPANY,cafe,None,None,4
FOUNDRY DISTILLING COMPANY,pub,None,None,2
FOUNDRY DISTILLING COMPANY (ET),cafe,None,None,4
FOUNDRY DISTILLING COMPANY (ET),pub,None,None,1
FOUNDRY DISTILLING COMPANY (ET),None,None,supermarket,1
FOUNDRY DISTILLING COMPANY (ET),bar,None,None,5
FOUNDRY DISTILLING COMPANY (ET),restaurant,None,None,15
GIT-N-GO #47 / ALTOONA,restaurant,None,None,1
GIT-N-GO #47 / ALTOONA,None,None,supermarket,2
GRIMES LIQUOR SHOP / GRIMES,cafe,None,None,2
GRIMES LIQUOR SHOP / GRIMES,restaurant,None,None,2
GS SUPER STOP,None,None,supermarket,1
GS SUPER STOP,bar,None,None,1
GS SUPER STOP,cafe,None,None,1
GS SUPER STOP,pub,None,None,2
GS SUPER STOP,restaurant,None,None,10
H & A MINI MART,restaurant,None,coffee,1
H & A MINI MART,restaurant,None,None,20
H & A MINI MART,pub,None,None,1
H & A MINI MART,None,None,supermarket,2
H & A MINI MART,bar,None,None,11
H & A MINI MART,cafe,None,None,5
H AND A MINI MART / PHILLIPS 66,restaurant,None,None,3
H AND A MINI MART / PHILLIPS 66,None,None,supermarket,1
H AND A MINI MART / PHILLIPS 66,cafe,None,None,3
H AND A MINI MART /BP,cafe,None,None,3
H AND A MINI MART /BP,restaurant,None,None,3
H AND A MINI MART /BP,None,None,supermarket,1
H AND A MINI MART CORP,None,None,supermarket,2
H AND A MINI MART CORP,bar,None,None,11
H AND A MINI MART CORP,cafe,None,None,5
H AND A MINI MART CORP,pub,None,None,1
H AND A MINI MART CORP,restaurant,None,None,20
H AND A MINI MART CORP,restaurant,None,coffee,1
HAWKEYE PANTRY,cafe,None,None,13
HAWKEYE PANTRY,restaurant,None,None,55
HAWKEYE PANTRY,pub,None,None,11
HAWKEYE PANTRY,None,stadium,None,1
HAWKEYE PANTRY,None,None,supermarket,2
HAWKEYE PANTRY,bar,None,None,35
HY-VEE,pub,None,None,2
HY-VEE,None,None,supermarket,2
HY-VEE,bar,None,None,1
HY-VEE,cafe,None,None,1
HY-VEE,restaurant,None,None,11
HY-VEE # 6/ DES MOINES,pub,None,None,11
HY-VEE # 6/ DES MOINES,restaurant,None,None,54
HY-VEE # 6/ DES MOINES,cafe,None,None,13
HY-VEE # 6/ DES MOINES,bar,None,None,35
HY-VEE # 6/ DES MOINES,None,stadium,None,1
HY-VEE # 6/ DES MOINES,None,None,supermarket,2
